family,win_rate,n_graphs,algo_a,algo_b
BA,0.6083333333333333,120,A*,DIJKSTRA
COMM,0.44166666666666665,360,A*,DIJKSTRA
ER,0.5166666666666667,120,A*,DIJKSTRA
GRID,0.9,120,A*,DIJKSTRA
WS,0.5166666666666667,480,A*,DIJKSTRA
