family,speedup_A*,speedup_ALT,speedup_BI_DIJKSTRA,speedup_DIJKSTRA
BA,1.011590924426884,1.1206238171706169,3.0336291737186776,1.0
COMM,0.9897470317855926,1.344611775693216,2.775285240751102,1.0
ER,0.9985291304401116,1.359004259682613,3.0542621817865765,1.0
GRID,1.1101363340518815,1.321012516103099,1.694685134178206,1.0
WS,0.9986928144800332,1.3536433248306317,1.9989995715962348,1.0
