family,n,p,weight,algo,ws_beta,comm_ratio,grid_side,median_cpu_sec,n_samples,rank
WS,30,0.14,uniform_1_9,A*,0.01,,,6.0999998822808266e-05,1000,2
WS,30,0.14,uniform_1_9,DIJKSTRA,0.05,,,5.4292002459988e-05,1000,1
WS,30,0.14,uniform_1_9,A*,0.05,,,5.9436999436002225e-05,1000,2
WS,30,0.14,uniform_1_9,DIJKSTRA,0.1,,,5.739550033467822e-05,1000,1
WS,30,0.14,uniform_1_9,A*,0.1,,,6.235450200620107e-05,1000,2
WS,30,0.14,uniform_1_9,DIJKSTRA,0.3,,,5.752100332756527e-05,1000,1
WS,30,0.14,uniform_1_9,A*,0.3,,,6.156299787107855e-05,1000,2
WS,60,0.06,uniform_1_9,DIJKSTRA,0.01,,,0.00011072899724240415,1000,1
WS,60,0.06,uniform_1_9,A*,0.01,,,0.00012424999658833258,1000,2
WS,60,0.06,uniform_1_9,DIJKSTRA,0.05,,,0.00011170849757036194,1000,1
WS,60,0.06,uniform_1_9,A*,0.05,,,0.000121978999231942,1000,2
WS,60,0.06,uniform_1_9,DIJKSTRA,0.1,,,0.00011385399920982309,1000,1
WS,60,0.06,uniform_1_9,A*,0.1,,,0.00012335399878793396,1000,2
WS,60,0.06,uniform_1_9,DIJKSTRA,0.3,,,0.00011450049714767374,1000,1
WS,60,0.06,uniform_1_9,A*,0.3,,,0.00012281200179131702,1000,2
WS,60,0.1,uniform_1_9,DIJKSTRA,0.01,,,0.00015087499923538417,1000,1
WS,60,0.1,uniform_1_9,A*,0.01,,,0.0001611459993000608,1000,2
WS,60,0.1,uniform_1_9,DIJKSTRA,0.05,,,0.0001539370023238007,1000,1
WS,60,0.1,uniform_1_9,A*,0.05,,,0.00015745849668746814,1000,2
WS,60,0.1,uniform_1_9,DIJKSTRA,0.1,,,0.00015941650053719059,1000,1
WS,60,0.1,uniform_1_9,A*,0.1,,,0.00016610449893050827,1000,2
WS,60,0.1,uniform_1_9,DIJKSTRA,0.3,,,0.00015720800365670584,1000,1
WS,60,0.1,uniform_1_9,A*,0.3,,,0.00016287499965983443,1000,2
WS,60,0.14,uniform_1_9,DIJKSTRA,0.01,,,0.00019045899898628704,1000,1
WS,60,0.14,uniform_1_9,A*,0.01,,,0.00019685450388351455,1000,2
WS,60,0.14,uniform_1_9,A*,0.05,,,0.00018975000057253055,1000,1
WS,60,0.14,uniform_1_9,DIJKSTRA,0.05,,,0.00019012499978998676,1000,2
WS,60,0.14,uniform_1_9,A*,0.1,,,0.00018929149882751517,1000,1
WS,60,0.14,uniform_1_9,DIJKSTRA,0.1,,,0.00019616649660747498,1000,2
WS,60,0.14,uniform_1_9,A*,0.3,,,0.00019004199930350296,1000,1
WS,60,0.14,uniform_1_9,DIJKSTRA,0.3,,,0.000200395497813588,1000,2
WS,120,0.06,uniform_1_9,DIJKSTRA,0.01,,,0.00040522899871575646,1000,1
WS,120,0.06,uniform_1_9,A*,0.01,,,0.0004244169977027923,1000,2
WS,120,0.06,uniform_1_9,DIJKSTRA,0.05,,,0.0004127085048821755,1000,1
WS,120,0.06,uniform_1_9,A*,0.05,,,0.0004164794991083909,1000,2
WS,120,0.06,uniform_1_9,A*,0.1,,,0.00040372899820795283,1000,1
WS,120,0.06,uniform_1_9,DIJKSTRA,0.1,,,0.0004151250032009557,1000,2
WS,120,0.06,uniform_1_9,A*,0.3,,,0.00039393699989886954,1000,1
WS,120,0.06,uniform_1_9,DIJKSTRA,0.3,,,0.0004175830035819672,1000,2
WS,120,0.1,uniform_1_9,A*,0.01,,,0.000554521000594832,1000,1
WS,120,0.1,uniform_1_9,DIJKSTRA,0.01,,,0.0005618329960270785,1000,2
WS,120,0.1,uniform_1_9,A*,0.05,,,0.0004905629975837655,1000,1
WS,120,0.1,uniform_1_9,DIJKSTRA,0.05,,,0.000552708501345478,1000,2
WS,120,0.1,uniform_1_9,A*,0.1,,,0.0005054374996689148,1000,1
WS,120,0.1,uniform_1_9,DIJKSTRA,0.1,,,0.0005814585056214128,1000,2
WS,120,0.1,uniform_1_9,A*,0.3,,,0.0005266254993330222,1000,1
WS,120,0.1,uniform_1_9,DIJKSTRA,0.3,,,0.0006058539984223899,1000,2
WS,120,0.14,uniform_1_9,A*,0.01,,,0.0007415830004902091,1000,1
WS,120,0.14,uniform_1_9,DIJKSTRA,0.01,,,0.0008363335000467487,1000,2
WS,120,0.14,uniform_1_9,A*,0.05,,,0.0006723329970554914,1000,1
WS,120,0.14,uniform_1_9,DIJKSTRA,0.05,,,0.000824021000880748,1000,2
WS,120,0.14,uniform_1_9,A*,0.1,,,0.0006580000008398201,1000,1
WS,120,0.14,uniform_1_9,DIJKSTRA,0.1,,,0.0008258119996753521,1000,2
WS,120,0.14,uniform_1_9,A*,0.3,,,0.0005820834994665347,1000,1
WS,120,0.14,uniform_1_9,DIJKSTRA,0.3,,,0.0007924375022412278,1000,2
WS,240,0.06,uniform_1_9,A*,0.01,,,0.001267187501071021,1000,1
WS,240,0.06,uniform_1_9,DIJKSTRA,0.01,,,0.001320145503996173,1000,2
WS,240,0.06,uniform_1_9,A*,0.05,,,0.0012092505021428224,1000,1
WS,240,0.06,uniform_1_9,DIJKSTRA,0.05,,,0.0013526875009119976,1000,2
WS,240,0.06,uniform_1_9,A*,0.1,,,0.0012010210011794697,1000,1
WS,240,0.06,uniform_1_9,DIJKSTRA,0.1,,,0.001361104499665089,1000,2
WS,240,0.06,uniform_1_9,A*,0.3,,,0.0011191044977749698,1000,1
WS,240,0.06,uniform_1_9,DIJKSTRA,0.3,,,0.00133479150099447,1000,2
WS,240,0.1,uniform_1_9,A*,0.01,,,0.0018505834996176418,1000,1
WS,240,0.1,uniform_1_9,DIJKSTRA,0.01,,,0.0021149789972696453,1000,2
WS,240,0.1,uniform_1_9,A*,0.05,,,0.0017405625003448222,1000,1
WS,240,0.1,uniform_1_9,DIJKSTRA,0.05,,,0.0022142499983601738,1000,2
WS,240,0.1,uniform_1_9,A*,0.1,,,0.001610666498891078,1000,1
WS,240,0.1,uniform_1_9,DIJKSTRA,0.1,,,0.0021587504998024087,1000,2
WS,240,0.1,uniform_1_9,A*,0.3,,,0.0014867079989926424,1000,1
WS,240,0.1,uniform_1_9,DIJKSTRA,0.3,,,0.0021782295043522026,1000,2
WS,240,0.14,uniform_1_9,A*,0.01,,,0.00211983400004101,1000,1
WS,240,0.14,uniform_1_9,DIJKSTRA,0.01,,,0.0029236875016067643,1000,2
WS,240,0.14,uniform_1_9,A*,0.05,,,0.0020343539981695358,1000,1
WS,240,0.14,uniform_1_9,DIJKSTRA,0.05,,,0.0029747919979854487,1000,2
WS,240,0.14,uniform_1_9,A*,0.1,,,0.0019183125004929025,1000,1
WS,240,0.14,uniform_1_9,DIJKSTRA,0.1,,,0.0029016249973210506,1000,2
WS,240,0.14,uniform_1_9,A*,0.3,,,0.0016715210003894754,1000,1
