family,n,p,weight,algo,ws_beta,comm_ratio,grid_side,median_cpu_sec,n_samples,rank
BA,60,0.1,uniform_1_9,BI_DIJKSTRA,,,,5.591649824054912e-05,1000,1
BA,60,0.1,uniform_1_9,ALT,,,,0.00014958350220695138,1000,2
BA,60,0.1,uniform_1_9,DIJKSTRA,,,,0.00017089549874071963,1000,3
BA,60,0.1,uniform_1_9,A*,,,,0.0001729159994283691,1000,4
BA,60,0.14,uniform_1_9,BI_DIJKSTRA,,,,6.308299998636357e-05,1000,1
BA,60,0.14,uniform_1_9,ALT,,,,0.00016362499809474684,1000,2
BA,60,0.14,uniform_1_9,A*,,,,0.00020645800032070838,1000,3
BA,60,0.14,uniform_1_9,DIJKSTRA,,,,0.00020927100194967352,1000,4
BA,120,0.06,uniform_1_9,BI_DIJKSTRA,,,,0.00010025000301538967,1000,1
BA,120,0.06,uniform_1_9,ALT,,,,0.00029693799660890363,1000,2
BA,120,0.06,uniform_1_9,A*,,,,0.00042779199793585576,1000,3
BA,120,0.06,uniform_1_9,DIJKSTRA,,,,0.00044883299779030494,1000,4
BA,120,0.1,uniform_1_9,BI_DIJKSTRA,,,,0.00012922899986733682,1000,1
BA,120,0.1,uniform_1_9,ALT,,,,0.00039668750105192885,1000,2
BA,120,0.1,uniform_1_9,A*,,,,0.0005488960014190525,1000,3
BA,120,0.1,uniform_1_9,DIJKSTRA,,,,0.0006121249971329235,1000,4
BA,120,0.14,uniform_1_9,BI_DIJKSTRA,,,,0.00014785399980610237,1000,1
BA,120,0.14,uniform_1_9,ALT,,,,0.0004640414990717545,1000,2
BA,120,0.14,uniform_1_9,A*,,,,0.0006243120005819947,1000,3
BA,120,0.14,uniform_1_9,DIJKSTRA,,,,0.0007681870010856073,1000,4
BA,240,0.06,uniform_1_9,BI_DIJKSTRA,,,,0.00021433299843920395,1000,1
BA,240,0.06,uniform_1_9,ALT,,,,0.0009044585021911189,1000,2
BA,240,0.06,uniform_1_9,A*,,,,0.0013113335007801652,1000,3
BA,240,0.06,uniform_1_9,DIJKSTRA,,,,0.0015090209999470972,1000,4
BA,240,0.1,uniform_1_9,BI_DIJKSTRA,,,,0.0003166665010212455,1000,1
BA,240,0.1,uniform_1_9,ALT,,,,0.0013626244981423952,1000,2
BA,240,0.1,uniform_1_9,A*,,,,0.0018030835017270874,1000,3
BA,240,0.1,uniform_1_9,DIJKSTRA,,,,0.002391728998190956,1000,4
BA,240,0.14,uniform_1_9,BI_DIJKSTRA,,,,0.00035647950062411837,1000,1
BA,240,0.14,uniform_1_9,ALT,,,,0.0016678749962011352,1000,2
BA,240,0.14,uniform_1_9,A*,,,,0.002003354504267918,1000,3
BA,240,0.14,uniform_1_9,DIJKSTRA,,,,0.0030858125028316863,1000,4
WS,30,0.06,uniform_1_9,DIJKSTRA,0.01,,,3.3229000109713525e-05,1000,1
WS,30,0.06,uniform_1_9,BI_DIJKSTRA,0.01,,,3.3542000892339274e-05,1000,2
WS,30,0.06,uniform_1_9,A*,0.01,,,3.949999882024713e-05,1000,3
WS,30,0.06,uniform_1_9,ALT,0.01,,,6.0582999140024185e-05,1000,4
WS,30,0.06,uniform_1_9,BI_DIJKSTRA,0.05,,,3.1167000997811556e-05,1000,1
WS,30,0.06,uniform_1_9,DIJKSTRA,0.05,,,3.439549982431345e-05,1000,2
WS,30,0.06,uniform_1_9,A*,0.05,,,4.11669971072115e-05,1000,3
WS,30,0.06,uniform_1_9,ALT,0.05,,,6.0708502132911235e-05,1000,4
WS,30,0.06,uniform_1_9,BI_DIJKSTRA,0.1,,,2.7812497137347236e-05,1000,1
WS,30,0.06,uniform_1_9,DIJKSTRA,0.1,,,3.579150143195875e-05,1000,2
WS,30,0.06,uniform_1_9,A*,0.1,,,4.285399700165726e-05,1000,3
WS,30,0.06,uniform_1_9,ALT,0.1,,,5.8707999414764345e-05,1000,4
WS,30,0.06,uniform_1_9,BI_DIJKSTRA,0.3,,,2.7000001864507794e-05,1000,1
WS,30,0.06,uniform_1_9,DIJKSTRA,0.3,,,3.6896002711728215e-05,1000,2
WS,30,0.06,uniform_1_9,A*,0.3,,,4.2896499508060515e-05,1000,3
WS,30,0.06,uniform_1_9,ALT,0.3,,,5.8999998145736754e-05,1000,4
WS,30,0.1,uniform_1_9,BI_DIJKSTRA,0.01,,,5.254149800748564e-05,1000,1
WS,30,0.1,uniform_1_9,DIJKSTRA,0.01,,,5.950000195298344e-05,1000,2
WS,30,0.1,uniform_1_9,A*,0.01,,,6.52505004836712e-05,1000,3
WS,30,0.1,uniform_1_9,ALT,0.01,,,7.012450078036636e-05,1000,4
WS,30,0.1,uniform_1_9,BI_DIJKSTRA,0.05,,,4.3042004108428955e-05,1000,1
