family,speedup_A*,speedup_DIJKSTRA
BA,1.0239082140394973,1.0
COMM,0.9849515351939843,1.0
ER,0.9973710803758035,1.0
GRID,1.108092370857109,1.0
WS,0.997313521666691,1.0
